column,missing_count,missing_rate
gsubname3,4960,1.0
weapsubtype4,4960,1.0
weapsubtype4_txt,4960,1.0
weaptype4,4960,1.0
weaptype4_txt,4960,1.0
claimmode3,4959,0.9997983870967742
claimmode3_txt,4959,0.9997983870967742
divert,4959,0.9997983870967742
kidhijcountry,4959,0.9997983870967742
claimmode2,4953,0.9985887096774193
claimmode2_txt,4953,0.9985887096774193
compclaim,4953,0.9985887096774193
gsubname2,4952,0.9983870967741936
claim3,4948,0.9975806451612903
gname3,4948,0.9975806451612903
guncertain3,4948,0.9975806451612903
ransomnote,4940,0.9959677419354839
ransomamtus,4935,0.9949596774193549
ransompaidus,4935,0.9949596774193549
ransompaid,4932,0.9943548387096774
ransomamt,4929,0.99375
corp3,4897,0.9872983870967742
natlty3,4897,0.9872983870967742
natlty3_txt,4897,0.9872983870967742
target3,4897,0.9872983870967742
targsubtype3,4897,0.9872983870967742
targsubtype3_txt,4897,0.9872983870967742
targtype3,4897,0.9872983870967742
targtype3_txt,4897,0.9872983870967742
attacktype3,4894,0.9866935483870968
attacktype3_txt,4894,0.9866935483870968
claim2,4864,0.9806451612903225
gname2,4864,0.9806451612903225
guncertain2,4864,0.9806451612903225
resolution,4864,0.9806451612903225
weapsubtype3,4857,0.979233870967742
weapsubtype3_txt,4857,0.979233870967742
weaptype3,4845,0.9768145161290323
weaptype3_txt,4845,0.9768145161290323
nhours,4840,0.9758064516129032
gsubname,4718,0.9512096774193548
ndays,4588,0.925
approxdate,4576,0.9225806451612903
nreleased,4483,0.9038306451612903
ransom,4472,0.9016129032258065
nhostkidus,4471,0.9014112903225806
hostkidoutcome,4468,0.9008064516129032
hostkidoutcome_txt,4468,0.9008064516129032
nhostkid,4468,0.9008064516129032
attacktype2,4462,0.8995967741935483
attacktype2_txt,4462,0.8995967741935483
weapsubtype2,4384,0.8838709677419355
weapsubtype2_txt,4384,0.8838709677419355
natlty2,4364,0.8798387096774194
natlty2_txt,4364,0.8798387096774194
corp2,4362,0.8794354838709677
target2,4362,0.8794354838709677
targsubtype2,4362,0.8794354838709677
targsubtype2_txt,4362,0.8794354838709677
targtype2,4362,0.8794354838709677
targtype2_txt,4362,0.8794354838709677
weaptype2,4280,0.8629032258064516
weaptype2_txt,4280,0.8629032258064516
motive,4222,0.8512096774193548
claimmode,4080,0.8225806451612904
claimmode_txt,4080,0.8225806451612904
related,3994,0.805241935483871
alternative,3721,0.7502016129032258
alternative_txt,3721,0.7502016129032258
addnotes,3495,0.7046370967741935
scite3,3264,0.6580645161290323
propvalue,3046,0.6141129032258065
propextent,3040,0.6129032258064516
propextent_txt,3040,0.6129032258064516
propcomment,3035,0.6118951612903226
weapdetail,3013,0.6074596774193548
location,2942,0.5931451612903226
scite2,2005,0.40423387096774194
weapsubtype1,793,0.15987903225806452
weapsubtype1_txt,793,0.15987903225806452
nwound,769,0.15504032258064515
nkill,424,0.08548387096774193
nwoundte,423,0.08528225806451613
nkillter,313,0.06310483870967742
targsubtype1,183,0.03689516129032258
targsubtype1_txt,183,0.03689516129032258
natlty1,60,0.012096774193548387
natlty1_txt,60,0.012096774193548387
latitude,35,0.007056451612903226
longitude,35,0.007056451612903226
multiple,2,0.0004032258064516129
nkillus,1,0.00020161290322580645
nwoundus,1,0.00020161290322580645
INT_ANY,0,0.0
INT_IDEO,0,0.0
INT_LOG,0,0.0
INT_MISC,0,0.0
attacktype1,0,0.0
attacktype1_txt,0,0.0
city,0,0.0
claimed,0,0.0
corp1,0,0.0
country,0,0.0
country_txt,0,0.0
crit1,0,0.0
crit2,0,0.0
crit3,0,0.0
dbsource,0,0.0
doubtterr,0,0.0
eventid,0,0.0
extended,0,0.0
gname,0,0.0
guncertain1,0,0.0
iday,0,0.0
imonth,0,0.0
individual,0,0.0
ishostkid,0,0.0
iyear,0,0.0
nperpcap,0,0.0
nperps,0,0.0
property,0,0.0
provstate,0,0.0
region,0,0.0
region_txt,0,0.0
scite1,0,0.0
specificity,0,0.0
success,0,0.0
suicide,0,0.0
summary,0,0.0
target1,0,0.0
targtype1,0,0.0
targtype1_txt,0,0.0
vicinity,0,0.0
weaptype1,0,0.0
weaptype1_txt,0,0.0
